

0 .........  0  0 23.801    -4 -3 -4
0 ........#  1  0 26.603    -3 -4 -5
0 .......##  2  0 -52.121   -2 -3 -4
0 .......#.  3  0 -86.524   -3 -2 -3
0 ......##.  4  0 -76.756   -4 -1 -4
0 ......###  5  0 -36.354   -3 2  -5
0 ......#.#  6  0 16.771    -4 -3 -6
0 ......#..  7  0 7.968     -5 -2 -5
0 .....##..  8  0 32.254    -4 -3 -6
0 .....##.#  9  0 -25.743   -3 4  -7
0 .....#### 10  0 -38.868   2  3  6 
0 .....###. 11  0 -12.470   -3 2  -5
0 .....#.#. 12  0 -27.038   -2 -3 -4
0 .....#.## 13  0 -59.435   -1 4  -5
0 .....#..# 14  0 -20.711   -2 -5 -6
0 .....#... 15  0 43.287    -3 -4 -5
0 ....##... 16  0 60.734    -4 -5 -4
0 ....##..# 17  0 25.937    -3 6  -5
0 ....##.## 18  0 3.212     2  5  4 
0 ....##.#. 19  0 6.410     -3 4  -3
0 ....####. 20  0 30.577    4  3  4 
0 ....##### 21  0 33.380    3  4  5 

0 ....###.#  0  1 30.504    4  5  6 
0 ....###..  1  1 59.301    -5 4  -5
0 ....#.#..  2  1 23.815    -6 -3 -4
0 ....#.#.#  3  1 61.818    -5 4  -5
0 ....#.###  4  1 24.694    4  3  4 
0 ....#.##.  5  1 -44.909   -5 2  -3
0 ....#..#.  6  1 -64.276   -4 -3 -2
0 ....#..##  7  1 -0.674    -3 4  -3
0 ....#...#  8  1 62.051    -4 -5 -4
0 ....#....  9  1 30.048    -5 -4 -3
0 ...##.... 10  1 42.637    -6 -5 -4
0 ...##...# 11  1 43.040    -5 6  -5
0 ...##..## 12  1 61.915    4  5  4 
0 ...##..#. 13  1 29.913    -5 4  -3
0 ...##.##. 14  1 21.280    6  3  4 
0 ...##.### 15  1 59.283    5  4  5 
0 ...##.#.# 16  1 14.807    6  5  6 
0 ...##.#.. 17  1 8.404     -7 4  -5
0 ...####.. 18  1 12.985    6  5  6 
0 ...####.# 19  1 -47.412   5  6  7 
0 ...###### 20  1 37.064    4  5  6 
0 ...#####. 21  1 65.861    5  4  5 

0 ...###.#.  0  2 69.694    4  5  4 
0 ...###.##  1  2 34.896    3  6  5 
0 ...###..#  2  2 -23.979   4  7  6 
0 ...###...  3  2 42.418    -5 6  -5
0 ...#.#...  4  2 40.736    -4 -5 -6
0 ...#.#..#  5  2 -54.861   -3 6  -7
0 ...#.#.##  6  2 -11.985   2  5  6 
0 ...#.#.#.  7  2 52.012    -3 4  -5
0 ...#.###.  8  2 38.580    4  3  6 
0 ...#.####  9  2 -19.418   3  4  7 
0 ...#.##.# 10  2 -87.893   4  5  8 
0 ...#.##.. 11  2 1.704     -5 4  -7
0 ...#..#.. 12  2 8.323     -6 -3 -6
0 ...#..#.# 13  2 -14.475   -5 4  -7
0 ...#..### 14  2 14.001    4  3  6 
0 ...#..##. 15  2 5.198     -5 2  -5
0 ...#...#. 16  2 23.431    -4 -3 -4
0 ...#...## 17  2 26.234    -3 4  -5
0 ...#....# 18  2 23.358    -4 -5 -6
0 ...#..... 19  2 52.155    -5 -4 -5
0 ..##..... 20  2 -2.447    -6 -3 -6
0 ..##....# 21  2 -25.244   -5 4  -7

0 ..##...##  0  3 3.232     4  3  6 
0 ..##...#.  1  3 -5.571    -5 2  -5
0 ..##..##.  2  3 -68.823   6  1  6 
0 ..##..###  3  3 -54.021   5  2  7 
0 ..##..#.#  4  3 -108.096  6  3  8 
0 ..##..#..  5  3 -91.299   -7 2  -7
0 ..##.##..  6  3 -88.539   6  3  8 
1 ..##.##.#  7  3 -172.136  5  4  9 
0 ..##.####  8  3 -78.060   4  3  8 
0 ..##.###.  9  3 -26.063   5  2  7 
0 ..##.#.#. 10  3 32.389    4  3  6 
0 ..##.#.## 11  3 -25.608   3  4  7 
0 ..##.#..# 12  3 -94.084   4  5  8 
0 ..##.#... 13  3 -4.487    -5 4  -7
