0 ......... 0 0 18.000000 
0 ........# 1 0 10.000000 
0 .......## 2 0 -15.333333 
0 .......#. 3 0 -7.333333 
0 ......##. 4 0 -6.000000 
0 ......### 5 0 -14.000000 
0 ......#.# 6 0 3.333333 
0 ......#.. 7 0 11.333333 
0 .....##.. 8 0 11.333333 
0 .....##.# 9 0 -12.666667 
0 .....#### 10 0 -22.000000 
0 .....###. 11 0 2.000000 
0 .....#.#. 12 0 8.666667 
0 .....#.## 13 0 -15.333333 
0 .....#..# 14 0 2.000000 
0 .....#... 15 0 26.000000 
0 ....##... 16 0 20.666667 
0 ....##..# 17 0 12.666667 
0 ....##.## 18 0 3.333333 
0 ....##.#. 19 0 11.333333 
0 ....####. 20 0 12.666667 
0 ....##### 21 0 4.666667 

0 ....###.# 0 1 6.000000 
0 ....###.. 1 1 14.000000 
0 ....#.#.. 2 1 6.000000 
0 ....#.#.# 3 1 14.000000 
0 ....#.### 4 1 4.666667 
0 ....#.##. 5 1 -3.333333 
0 ....#..#. 6 1 -12.666667 
0 ....#..## 7 1 -4.666667 
0 ....#...# 8 1 12.666667 
0 ....#.... 9 1 4.666667 
0 ...##.... 10 1 0.666667 
0 ...##...# 11 1 8.666667 
0 ...##..## 12 1 15.333333 
0 ...##..#. 13 1 7.333333 
0 ...##.##. 14 1 8.666667 
0 ...##.### 15 1 16.666667 
0 ...##.#.# 16 1 2.000000 
0 ...##.#.. 17 1 -6.000000 
0 ...####.. 18 1 -8.666667 
0 ...####.# 19 1 -16.666667 
0 ...###### 20 1 6.000000 
0 ...#####. 21 1 14.000000 

0 ...###.#. 0 2 20.666667 
0 ...###.## 1 2 12.666667 
0 ...###..# 2 2 -2.000000 
0 ...###... 3 2 6.000000 
0 ...#.#... 4 2 11.333333 
0 ...#.#..# 5 2 -12.666667 
0 ...#.#.## 6 2 -6.000000 
0 ...#.#.#. 7 2 18.000000 
0 ...#.###. 8 2 3.333333 
0 ...#.#### 9 2 -20.666667 
0 ...#.##.# 10 2 -35.333333 
0 ...#.##.. 11 2 -11.333333 
0 ...#..#.. 12 2 -0.666667 
0 ...#..#.# 13 2 -8.666667 
0 ...#..### 14 2 -2.000000 
0 ...#..##. 15 2 6.000000 
0 ...#...#. 16 2 12.666667 
0 ...#...## 17 2 4.666667 
0 ...#....# 18 2 6.000000 
0 ...#..... 19 2 14.000000 
0 ..##..... 20 2 -6.000000 
0 ..##....# 21 2 -14.000000 

0 ..##...## 0 3 -7.333333 
0 ..##...#. 1 3 0.666667 
0 ..##..##. 2 3 -14.000000 
0 ..##..### 3 3 -22.000000 
0 ..##..#.# 4 3 -36.666667 
0 ..##..#.. 5 3 -28.666667 
0 ..##.##.. 6 3 -36.666667 
1 ..##.##.# 7 3 -60.666667 
0 ..##.#### 8 3 -38.000000 
0 ..##.###. 9 3 -14.000000 
0 ..##.#.#. 10 3 8.666667 
0 ..##.#.## 11 3 -15.333333 
0 ..##.#..# 12 3 -30.000000 
0 ..##.#... 13 3 -6.000000 
0 ..####... 14 3 2.000000 
0 ..####..# 15 3 -6.000000 
0 ..####.## 16 3 16.666667 
0 ..####.#. 17 3 24.666667 
0 ..######. 18 3 10.000000 
0 ..####### 19 3 2.000000 
0 ..#####.# 20 3 -28.666667 
0 ..#####.. 21 3 -20.666667 

0 ..###.#.. 0 4 -20.666667 
0 ..###.#.# 1 4 -12.666667 
0 ..###.### 2 4 10.000000 
0 ..###.##. 3 4 2.000000 
0 ..###..#. 4 4 8.666667 
0 ..###..## 5 4 16.666667 
0 ..###...# 6 4 2.000000 
0 ..###.... 7 4 -6.000000 
0 ..#.#.... 8 4 0.666667 
0 ..#.#...# 9 4 8.666667 
0 ..#.#..## 10 4 -0.666667 
0 ..#.#..#. 11 4 -8.666667 
0 ..#.#.##. 12 4 -7.333333 
0 ..#.#.### 13 4 0.666667 
0 ..#.#.#.# 14 4 2.000000 
0 ..#.#.#.. 15 4 -6.000000 
0 ..#.###.. 16 4 4.666667 
0 ..#.###.# 17 4 -3.333333 
0 ..#.##### 18 4 3.333333 
0 ..#.####. 19 4 11.333333 
0 ..#.##.#. 20 4 18.000000 
0 ..#.##.## 21 4 10.000000 

0 ..#.##..# 0 5 11.333333 
0 ..#.##... 1 5 19.333333 
0 ..#..#... 2 5 11.333333 
0 ..#..#..# 3 5 -12.666667 
0 ..#..#.## 4 5 -22.000000 
0 ..#..#.#. 5 5 2.000000 
0 ..#..###. 6 5 -12.666667 
0 ..#..#### 7 5 -36.666667 
0 ..#..##.# 8 5 -35.333333 
0 ..#..##.. 9 5 -11.333333 
0 ..#...#.. 10 5 -14.000000 
0 ..#...#.# 11 5 -22.000000 
0 ..#...### 12 5 -31.333333 
0 ..#...##. 13 5 -23.333333 
0 ..#....#. 14 5 -16.666667 
0 ..#....## 15 5 -24.666667 
0 ..#.....# 16 5 -7.333333 
0 ..#...... 17 5 0.666667 
0 .##...... 18 5 0.666667 
0 .##.....# 19 5 8.666667 
0 .##....## 20 5 -3.333333 
0 .##....#. 21 5 -11.333333 

0 .##...##. 0 6 -7.333333 
0 .##...### 1 6 0.666667 
0 .##...#.# 2 6 4.666667 
0 .##...#.. 3 6 -3.333333 
0 .##..##.. 4 6 4.666667 
0 .##..##.# 5 6 -3.333333 
0 .##..#### 6 6 0.666667 
0 .##..###. 7 6 8.666667 
0 .##..#.#. 8 6 12.666667 
0 .##..#.## 9 6 4.666667 
0 .##..#..# 10 6 8.666667 
0 .##..#... 11 6 16.666667 
0 .##.##... 12 6 8.666667 
0 .##.##..# 13 6 16.666667 
0 .##.##.## 14 6 20.666667 
0 .##.##.#. 15 6 12.666667 
0 .##.####. 16 6 16.666667 
0 .##.##### 17 6 24.666667 
0 .##.###.# 18 6 12.666667 
0 .##.###.. 19 6 4.666667 
0 .##.#.#.. 20 6 -11.333333 
0 .##.#.#.# 21 6 12.666667 

0 .##.#.### 0 7 16.666667 
0 .##.#.##. 1 7 -7.333333 
0 .##.#..#. 2 7 -19.333333 
0 .##.#..## 3 7 4.666667 
0 .##.#...# 4 7 8.666667 
0 .##.#.... 5 7 -15.333333 
0 .####.... 6 7 -22.000000 
0 .####...# 7 7 2.000000 
0 .####..## 8 7 22.000000 
0 .####..#. 9 7 -2.000000 
0 .####.##. 10 7 2.000000 
0 .####.### 11 7 26.000000 
0 .####.#.# 12 7 -2.000000 
1 .####.#.. 13 7 -26.000000 
0 .######.. 14 7 -20.666667 
0 .######.# 15 7 -12.666667 
0 .######## 16 7 23.333333 
0 .#######. 17 7 15.333333 
0 .#####.#. 18 7 19.333333 
0 .#####.## 19 7 27.333333 
0 .#####..# 20 7 -0.666667 
0 .#####... 21 7 -8.666667 

0 .###.#... 0 8 -0.666667 
0 .###.#..# 1 8 -8.666667 
0 .###.#.## 2 8 11.333333 
0 .###.#.#. 3 8 19.333333 
0 .###.###. 4 8 7.333333 
0 .###.#### 5 8 -0.666667 
0 .###.##.# 6 8 -28.666667 
0 .###.##.. 7 8 -20.666667 
0 .###..#.. 8 8 -18.000000 
0 .###..#.# 9 8 -10.000000 
0 .###..### 10 8 10.000000 
0 .###..##. 11 8 2.000000 
0 .###...#. 12 8 6.000000 
0 .###...## 13 8 14.000000 
0 .###....# 14 8 2.000000 
0 .###..... 15 8 -6.000000 
0 .#.#..... 16 8 3.333333 
0 .#.#....# 17 8 11.333333 
0 .#.#...## 18 8 15.333333 
0 .#.#...#. 19 8 7.333333 
0 .#.#..##. 20 8 11.333333 
0 .#.#..### 21 8 19.333333 

0 .#.#..#.# 0 9 7.333333 
0 .#.#..#.. 1 9 -0.666667 
0 .#.#.##.. 2 9 -6.000000 
0 .#.#.##.# 3 9 -14.000000 
0 .#.#.#### 4 9 6.000000 
0 .#.#.###. 5 9 14.000000 
0 .#.#.#.#. 6 9 18.000000 
0 .#.#.#.## 7 9 10.000000 
0 .#.#.#..# 8 9 -2.000000 
0 .#.#.#... 9 9 6.000000 
0 .#.###... 10 9 -15.333333 
0 .#.###..# 11 9 -7.333333 
0 .#.###.## 12 9 12.666667 
0 .#.###.#. 13 9 4.666667 
0 .#.#####. 14 9 8.666667 
0 .#.###### 15 9 16.666667 
0 .#.####.# 16 9 -11.333333 
0 .#.####.. 17 9 -19.333333 
0 .#.##.#.. 18 9 -22.000000 
0 .#.##.#.# 19 9 2.000000 
0 .#.##.### 20 9 22.000000 
0 .#.##.##. 21 9 -2.000000 

0 .#.##..#. 0 10 -14.000000 
0 .#.##..## 1 10 10.000000 
0 .#.##...# 2 10 -2.000000 
0 .#.##.... 3 10 -26.000000 
0 .#..#.... 4 10 -22.000000 
0 .#..#...# 5 10 2.000000 
0 .#..#..## 6 10 -10.000000 
0 .#..#..#. 7 10 -34.000000 
0 .#..#.##. 8 10 -14.000000 
0 .#..#.### 9 10 10.000000 
0 .#..#.#.# 10 10 14.000000 
0 .#..#.#.. 11 10 -10.000000 
0 .#..###.. 12 10 3.333333 
