num :     1    1.00 0.00000    1.00    0.49 :    0.00  (   0.00    0.00)      0.24   (   0.00    0.00)    0.00 :  0.000     0.00     0.00 | 89.50 -99.00 vals :     1 (0.000 > 0.000) (0.000 < 5100.451) (    0 >     0) (   10 >     0) compare:  209.99    0.451  0.0000  0.5100  1790.0   10.017  0.0000  0.0000 
num :     2    1.51 0.49990    1.51    1.61 :    0.25  (   0.00    0.00)      0.42   (   0.00    0.00)    0.15 :  0.000     0.00     0.26 | 76.05 -99.00 vals :     2 (0.000 > 0.000) (0.000 < 2300.716) (    0 >     0) (   12 >     6) compare:  331.31    6.026  0.0000  0.2300   968.5   12.013  0.0000  0.0000 
num :     3    1.64 0.57480    1.64    7.27 :    1.18  (   0.00    0.02)      1.31   (   0.00    0.00)    0.22 :  0.000     0.55     1.17 | 50.14 -99.00 vals :     3 (0.004 > 0.010) (0.000 < 0.573) (    0 >     0) (   15 >    13) compare:  424.21   12.999  0.0103  0.0000   503.3   14.527  0.0040  0.0000 
num :     4    1.61 0.58129    1.61   23.10 :    6.08  (   0.31    0.51)      1.48   (   0.03    0.06)    0.62 :  0.000     0.91     1.80 | 36.94 -98.96 vals :     4 (0.098 > 0.160) (0.000 < 0.377) (    0 >     0) (   16 >    16) compare:  394.74   16.113  0.1599  0.0000   384.1   16.492  0.0980  0.0000 
num :     5    1.74 0.57654    1.74   41.17 :    5.35  (   1.16    1.09)      1.20   (   0.13    0.26)    2.21 :  0.000     1.14     1.95 | 33.13 -98.96 vals :     5 (0.209 > 0.296) (0.000 < 0.295) (    0 >     0) (   18 >    17) compare:  353.46   17.460  0.2960  0.0000   320.4   17.514  0.2093  0.0000 
num :     6    1.74 0.62642    1.74   54.30 :    2.09  (   2.16    1.47)      1.20   (   0.23    0.37)    3.35 :  0.001     0.72     1.35 | 32.11 -98.97 vals :     6 (0.320 > 0.364) (0.000 < 0.263) (    1 >     1) (   18 >    18) compare:  333.68   18.009  0.3638  0.0000   325.1   18.096  0.3203  0.0000 
num :     7    2.27 0.74639    2.26   58.42 :    2.40  (   2.33    1.99)      1.90   (   0.17    0.46)    5.30 :  0.001     1.86     1.81 | 40.24 -98.90 vals :     7 (0.278 > 0.354) (0.000 < 0.268) (    1 >     1) (   18 >    18) compare:  310.18   18.113  0.3542  0.0000   271.7   17.822  0.2777  0.0000 
num :     8    2.74 1.06414    2.73   58.68 :    2.05  (   2.11    2.51)      1.71   (   0.09    0.43)    5.53 :  0.001     2.21     1.94 | 48.26 -98.95 vals :     8 (0.283 > 0.321) (0.000 < 0.287) (    2 >     2) (   18 >    18) compare:  275.80   18.131  0.3210  0.0000   265.9   17.946  0.2828  0.0000 
num :     9    3.50 1.00499    3.50   64.93 :    1.61  (   1.87    3.25)      1.47   (   0.03    0.32)    8.97 :  0.001     2.27     1.80 | 57.08 -98.95 vals :     9 (0.266 > 0.289) (0.000 < 0.310) (    2 >     2) (   18 >    18) compare:  218.04   18.099  0.2893  0.0000   187.5   17.986  0.2664  0.0000 
num :    10    4.12 1.12499    4.12   74.08 :    1.29  (   1.74    3.84)      1.49   (   0.00    0.29)    5.75 :  0.001     2.24     1.74 | 59.31 -98.90 vals :    10 (0.256 > 0.276) (0.000 < 0.320) (    2 >     2) (   18 >    18) compare:  182.45   18.162  0.2759  0.0000   148.4   18.054  0.2555  0.0000 
